,transaction_description,transaction_category,transaction_value,transaction_score
128,Archiviazione Apple iCloud.,General Services,3,2
130,Pagamento carta di credito a Capital One.,Loans,25.19,3
133,Questo è il pagamento della mia auto.,Loans,563.39,3
143,Pagamento carta Discover.,Loans,120,1
145,Questo è per il pagamento della mia auto.,Loans,264.73,3
147,Pagamento costi operativi lavoro.,"Income / Wages, gig economy, tips",329,3
148,Questo è stato per pagare il nostro commercialista per le tasse!.,Government + Non-Profit / Taxes,300,3
150,Questo era per il software di compilazione delle tasse per cinque persone.,Government + Non-Profit / Taxes,70.31,3
151,Pagamento bi-settimanale di prestito auto.,Loans,64.31,3
153,Pagato completamente la carta di credito.,Loans,"1,407.00",3
156,Saldo pagato sulla carta di credito Amazon.,Loans,269.64,3
158,Ho pagato per un'iscrizione professionale.,General Services,130,3
159,Questo è per il pagamento del leasing per la mia auto.,Loans,564.73,2
161,Questo è il mio pagamento della carta di credito!.,Loans,217.14,3
164,Donazione politica.,Charity & Donations,25,1
165,Ho pagato le mie tasse trimestrali.,Government + Non-Profit / Taxes,500,3
167,Pagamento automatico al Dipartimento delle Entrate del Massachusetts per le tasse dovute.,Government + Non-Profit / Taxes,100,1
168,Pagamento mensile a un servizio di recupero/recupero debiti.,Loans,5.82,3
169,Era pagare un estratto conto della carta di credito Capital One.,Loans,"1,101.65",3
170,Questo è il pagamento della mia bolletta della carta di credito.,Loans,"1,043.24",3
171,Bolletta tassa consiglio comunale.,Government + Non-Profit / Taxes,185,3
172,Questo era un pagamento sulla mia carta di credito American Express.,Loans,100,3
173,Pagamento carta di credito.,Loans,63.39,3
175,costi necessari non specificati una tantum,Loans,97.81,3
177,Pagamento mensile sulla carta di credito Walmart.,Loans,120,3
178,Questa è stata una donazione che ho fatto su GoFundMe alla famiglia di una vittima di Uvalde.,Charity & Donations,10.5,1
184,Acquisto carta negozio Amazon.,Loans,70.94,1
185,Questo è per un pagamento rata auto.,Loans,564.73,3
186,costi necessari non specificati una tantum,Loans,30,3
187,Sono stato addebitato per servizi antivirus.,General Services,106.24,2
189,Pagamento per servizio di giardinaggio.,General Services,30,0
190,Pagamento auto bi-mensile Assicurazione auto.,General Services,101.59,3
191,Iscrizione ad un servizio di profilazione genetica,General Services,39.99,1
192,Questo è il mio storage iCloud per il mese!.,General Services,5.33,2
193,Ho pagato la mia premio assicurazione sanitaria.,General Services,7.08,3
194,Piano mensile Adobe Photoshop per lavoro.,General Services,10.59,3
195,Questo è il mio premio annuale assicurazione casa.,General Services,270.42,3
196,Sono stato addebitato per servizi antivirus.,General Services,106.24,2
197,Questa è una donazione a un'organizzazione di beneficenza per animali.,Charity & Donations,25,0
198,Pagamento carta di credito.,Loans,27,1
199,Pagamento per Amazon Prime.,General Services,6.99,1
200,Inviato $20 tramite Zella a Solid Rock Community Church.,Charity & Donations,20,0
201,Denaro pagato per l'extra storage di Google Cloud.,General Services,1.99,1
202,Denaro inviato all'associazione dei residenti locali relativo al rifacimento del mio vialetto.,General Services,210,1
203,Denaro pagato a un servizio governativo per risparmiare sulle tasse per la cura dei bambini.,General Services,"1,300.00",2
204,Donazione a un ente no profit tramite paypal.,Charity & Donations,25,0
205,Pagamento per servizi di giardinaggio.,General Services,65,1
206,Pagato saldo dovuto per multe da citazione.,Charity & Donations,152.75,3
207,Donazione online.,Charity & Donations,20.85,0
209,Ho comprato un corso di studio.,General Services,153,2
210,Tasse universitarie.,General Services,573.75,3
211,Costi di spedizione all'Ufficio Postale.,General Services,6.85,3
212,Questa è una quota di iscrizione in palestra.,General Services,63.13,2
213,Premio semestrale assicurazione auto.,General Services,443,3
214,Ho donato a un'organizzazione di beneficenza per animali.,Charity & Donations,25.73,0
215,Pagamento assicurazione sanitaria.,General Services,20.85,3
216,Questo è per la mia iscrizione ad Amazon Prime.,General Services,7.7,1
217,Ho pagato per la mia iscrizione ad Amazon Prime.,General Services,14.08,1
218,Questo è stato per una cinghia per aiutare l'allenamento.,General Merchandise,6.48,1
219,Donazione soccorso animali.,Charity & Donations,52.23,0
220,Ho pagato il mio premio assicurativo.,General Services,15.54,3
221,Questo è il mio premio mensile assicurazione auto.,General Services,98.99,3
222,Ho pagato per la mia iscrizione a Microsoft.,General Services,6.99,2
223,Donato denaro alla pagina GoFundMe di un amico.,Charity & Donations,25,0
224,Ho comprato oggetti sfiziosi e decorativi su Amazon.,General Merchandise,131.5,0
225,Questo è per un medicinale antiparassitario per il mio gatto.,General Merchandise,70.96,2
226,Ho preso cibo per cani. L'ho fatto consegnare tramite DoorDash.,General Merchandise,39.11,3
227,Questo è per il cibo prescritto per il mio gatto.,General Merchandise,49.06,3
228,Denaro speso per abbigliamento e scarpe da allenamento.,General Merchandise,25.78,1
229,Acquistati articoli presso discount Walmart.,General Merchandise,59.7,1
230,Acquistati forniture per animali domestici in negozio.,General Merchandise,4.62,2
232,Acquisto di merchandising unicorno tramite PayPal.,General Merchandise,50.95,0
233,Questo è stato un mix di acquisti regalo e shopping.,General Merchandise,15.76,1
234,Attrezzature sportive su Amazon.,General Merchandise,71.9,1
235,Questo è stato per ricariche di profumo.,General Merchandise,16.03,1
236,Un romanzo fantasy su Amazon.,General Merchandise,5.98,1
237,Questo è stato per comprare una carta regalo online.,General Merchandise,95,0
238,Ho comprato uno zaino nuovo per l'escursionismo.,General Merchandise,63.58,1
239,Spray antiparassitario per piante.,General Merchandise,15.34,0
240,Questo è stato per un disco per disc golf.,General Merchandise,12.99,1
242,Pagamento per tariffa mensile software per prodotti Adobe.,General Merchandise,56.17,2
244,Una breve visita a Cinnabon per un caffè e un dolce.,Food & Drink / Restaurants,3.49,1
245,Questo è stato per un regalo per la Festa della Mamma.,General Merchandise,28.04,1
246,Acquisti di libri di finanza,General Merchandise,49.87,2
247,Acquisto di abbigliamento presso famoso brand economico.,General Merchandise,53.49,3
248,Ho comprato la cena da asporto.,Food & Drink / Restaurants,12.76,0
249,Ho acquistato decorazioni per casa mia.,General Merchandise,23.86,0
250,Ho pranzato da Taco Bell.,Food & Drink / Restaurants,14.69,1
251,Questo è per alcune camicie in un negozio dell'usato.,General Merchandise,7.58,2
252,Ho comprato un libro di allenamento.,General Merchandise,9.99,1
253,Acquisto di beni di carta presso Walgreens.,General Merchandise,19.27,1
254,Pagamento per l'abbonamento all'inchiostro per stampante.,General Merchandise,4.23,3
255,Ho ordinato con consegna a casa la pizza per cena.,Food & Drink / Restaurants,43.6,0
256,Ho comprato il rossetto da Rite-Aid.,General Merchandise,7.2,1
257,Pagato per un pranzo fast food da Wendy's.,Food & Drink / Restaurants,14.87,1
258,Acquistati alcuni articoli casalinghi.,General Merchandise,70.3,0
259,Questo è un ristorante per cena nel weekend.,Food & Drink / Restaurants,38.34,2
260,Ho comprato un libro di testo per un esame che dovrò presto sostenere.,General Merchandise,112.3,3
261,Ho acquistato una candela su Etsy.,General Merchandise,24.55,0
262,Acquisto online di prodotti per la cura della pelle su Olay.com.,General Merchandise,64.76,0
263,Sono andato in questo ristorante per ordinare del cibo.,Food & Drink / Restaurants,21.64,1
264,"Ho comprato un disinfettante per le mani, ma era come un 'disinfettante di lusso' profumato come un profumo. Lo considererei più 'bellezza'.",General Merchandise,8.67,0
265,Pranzo al ristorante con affetti/amici/parenti.,Food & Drink / Restaurants,42.9,2
266,Questo è per l'acquisto di una caffettiera usata su Facebook Marketplace.,General Merchandise,25,1
267,Ho comprato un panino e delle patatine in un caffè.,Food & Drink / Restaurants,11,0
268,Questo era per un paio di pantaloncini da esercizio.,General Merchandise,8.43,1
269,Questo è un posto Pho che serve anche hamburger.,Food & Drink / Restaurants,21.64,1
270,Acquisto Walgreens di articoli personali.,General Merchandise,30.48,2
271,Ho preso alcuni forniture per computer su Amazon.,General Merchandise,393.93,2
272,Questo è un regalo di gioielli personalizzati da un mercato online.,General Merchandise,54.95,1
273,Ordinati ravioli su DoorDash.,Food & Drink / Restaurants,26.29,0
274,Ho comprato un libro per mio figlio alla fiera del libro della scuola.,General Merchandise,11,3
275,Questo è un programma di abbonamento al profumo.,General Merchandise,3.21,0
276,Cibo economico da Red Lobster.,Food & Drink / Restaurants,10.46,2
277,Alcuni acquisti di abbigliamento in saldo.,General Merchandise,26.1,3
278,"Questo è stato per un pranzo, da un posto chiamato Salad and Go.",Food & Drink / Restaurants,14.16,2
279,Componenti per computer.,General Merchandise,33.17,2
280,Ho comprato una fetta di pizza.,Food & Drink / Restaurants,2.13,1
281,Questo è stato per alcune camicie che ho comprato per il compleanno di mio padre.,General Merchandise,35.7,2
282,Acquisto pranzo di lavoro al ristorante.,Food & Drink / Restaurants,21.83,3
283,Cena a buffet cinese.,Food & Drink / Restaurants,23,1
284,Pranzo comprato in un ristorante cinese.,Food & Drink / Restaurants,12,1
285,Abbonamento online a giornale locale digitale.,General Merchandise,3.25,1
286,Acquisto cibo Panera Bread.,Food & Drink / Restaurants,54,1
287,Questo è stato per un pranzo fuori con la ragazza.,Food & Drink / Restaurants,13.5,2
288,Questo è un acquisto di un bidone della spazzatura da Staples.,General Merchandise,15.93,3
289,Cuffie da Amazon.com.,General Merchandise,34.23,1
290,Cibo cinese da asporto per la famiglia.,Food & Drink / Restaurants,84.21,1
291,Calze da Walmart.com.,General Merchandise,5.83,3
292,Ho comprato roba per la rasatura al negozio del dollaro.,General Merchandise,9.18,3
293,Questo è stato per una consegna da asporto.,Food & Drink / Restaurants,30.36,0
294,Ho preso alcuni miglioramenti per computer su Amazon.,General Merchandise,64.9,1
295,Questo è stato per un brunch!.,Food & Drink / Restaurants,40.76,2
296,Questo è un ristorante.,Food & Drink / Restaurants,27.52,2
297,Ho comprato cibo in un ristorante.,Food & Drink / Restaurants,26.02,1
298,Una colazione fuori in un ristorante locale.,Food & Drink / Restaurants,23.5,0
299,Acquisto decorazioni natalizie da Dollar Tree.,General Merchandise,7.97,1
300,Ho comprato una bevanda energetica all'aeroporto.,Food & Drink / Other,6.02,0
301,Ho comprato delle scarpe per un matrimonio.,General Merchandise,64.65,1
302,Acquisto Amazon di lenzuola.,General Merchandise,26.25,3
303,Acquisto libro da una libreria.,General Merchandise,4.97,2
304,Abbonamento digitale ricorrente mensile a riviste di gossip.,General Merchandise,3,0
305,Questo è un ristorante di pesce per cena con amici.,Food & Drink / Restaurants,47.09,2
306,Acquisto Fast Food.,Food & Drink / Restaurants,19.18,1
307,Cena da Red Lobster.,Food & Drink / Restaurants,94.46,2
308,Ordinata Pizza asporto spedita a casa.,Food & Drink / Restaurants,30.94,1
309,Ho mangiato del cibo al ristorante Pho U.,Food & Drink / Restaurants,21.64,2
310,Acquistate batterie e pennelli per verniciare pareti di casa.,General Merchandise,5.28,2
311,Ho comprato pranzo da un posto di roast beef.,Food & Drink / Restaurants,9.36,2
312,Acquisto di biglietti di auguri da un sito web.,General Merchandise,3.64,1
313,Questo era per caramelle in una stazione di servizio.,Food & Drink / Other,6.04,0
315,Questo è un posto per la colazione. È stato un ordine tramite la loro app mobile.,Food & Drink / Restaurants,4.7,0
316,Pagamento online per la consegna dal ristorante.,Food & Drink / Restaurants,36.67,1
317,Per un pasto veloce in un ristorante di hamburger in orario lavorativo.,Food & Drink / Restaurants,28.55,2
318,Abbiamo avuto la pizza da Little Caesars per cena.,Food & Drink / Restaurants,21.28,2
319,Questi sono panini per pranzo acquistati al supermercato.,Food & Drink / Restaurants,16.02,3
320,Questo è stato in un ristorante per pranzo.,Food & Drink / Restaurants,27.98,2
321,Ho comprato la cena per la famiglia.,Food & Drink / Restaurants,45.42,3
322,Ho comprato dei pretzel mentre facevo shopping al centro commerciale.,Food & Drink / Restaurants,20.69,0
323,Ho comprato pranzo per me e mio marito.,Food & Drink / Restaurants,20.1,3
324,Acquisto di generi alimentari con cash back alla cassa.,Food & Drink / Groceries,177.7,3
325,Generi alimentari da Stop & Shop.,Food & Drink / Groceries,47.87,3
326,Spesa di generi alimentari in un centro commerciale.,Food & Drink / Groceries,18.53,3
327,Articoli di prima necessità al supermercato.,Food & Drink / Groceries,4,3
328,Tariffe di consegna della spesa.,Food & Drink / Groceries,14.07,1
329,Ho preso del Burger King usando DoorDash.,Food & Drink / Restaurants,21.91,1
330,Acquistati generi alimentari da Whole Foods tramite abbonamento Amazon Prime.,Food & Drink / Groceries,39.36,2
331,Questo è stato per un paio di articoli alimentari dal supermercato che mi erano finiti.,Food & Drink / Groceries,2.29,3
332,Acquisto di generi alimentari da Walmart.,Food & Drink / Groceries,4,3
333,Mancia per la consegna Walmart.,Food & Drink / Groceries,7,1
334,Ho preso un paio di articoli alimentari da Dollar Tree vicino a me.,Food & Drink / Groceries,10.33,3
335,Ho comprato generi alimentari per la settimana!.,Food & Drink / Groceries,70.65,3
336,Ho ordinato del Chipotle usando DoorDash.,Food & Drink / Restaurants,18.71,2
337,Ho comprato alcuni generi alimentari alla Coop.,Food & Drink / Groceries,44.18,3
338,Acquisto torta Budino da Amazon.,Food & Drink / Groceries,10.61,0
339,Preso alcuni generi alimentari da Dollar Tree.,Food & Drink / Groceries,12.83,3
340,Acquisto di generi alimentari da Aldi.,Food & Drink / Groceries,72.19,3
341,Ho ordinato con consegna a casa alcuni generi alimentari.,Food & Drink / Groceries,15.73,2
342,Ho speso dei soldi in generi alimentari.,Food & Drink / Groceries,8.72,3
343,Gelato/dolce in pasticceria.,Food & Drink / Other,23.5,2
344,Questo è stato da un viaggio al negozio di alimentari.,Food & Drink / Groceries,127.18,3
345,Questo è stato per generi alimentari.,Food & Drink / Groceries,20.38,3
346,Generi alimentari da Stop & Shop.,Food & Drink / Groceries,52.61,3
347,Soldi spesi in un videogioco che gioco.,Entertainment / Services,2.99,2
348,Acquisto dolciumi regalo da Dollar General.,Food & Drink / Groceries,17,1
349,Acquisto supermercato Esselunga di generi alimentari.,Food & Drink / Groceries,101.96,3
350,Ho speso dei soldi in generi alimentari dal fruttivendolo.,Food & Drink / Groceries,74.7,3
351,Questo è per generi alimentari all'ingrosso presso Zona Market.,Food & Drink / Groceries,92.08,3
352,Questo è per generi alimentari alla Coop.,Food & Drink / Groceries,8.39,3
353,Ho fatto consegnare la spesa da Deliveroo.,Food & Drink / Groceries,58.46,1
354,Ho comprato caramelle su Amazon.,Food & Drink / Groceries,41.57,0
355,Spesa al supermercato Esselunga.,Food & Drink / Groceries,32.23,3
356,Ho comprato generi alimentari in una catena di lusso.,Food & Drink / Groceries,34.17,0
357,Acquistati generi alimentari al Carrefour.,Food & Drink / Groceries,40.96,3
358,Ho comprato generi alimentari al mercato.,Food & Drink / Groceries,8.61,3
359,Ho comprato una bevanda energetica da Target.,Food & Drink / Groceries,4.61,1
360,Ho comprato alcune bevande energetiche.,Food & Drink / Groceries,6.96,1
361,Ho comprato alcuni articoli alimentari alla Coop.,Food & Drink / Groceries,19.02,3
362,Acquisto di generi alimentari da Walmart.,Food & Drink / Groceries,25.29,3
363,Ho comprato alcuni articoli alimentari da 7/11.,Food & Drink / Groceries,16.15,3
364,Ho ordinato alcuni generi alimentari tramite un servizio di consegna.,Food & Drink / Groceries,60.56,1
365,Acquisto top up per piccoli articoli dal supermercato.,Food & Drink / Groceries,7,2
366,Questo è un negozio di alimentari dove ho comprato alcuni articoli.,Food & Drink / Groceries,12.81,3
367,Sono andato in un negozio di alimentari per prendere alcune cose.,Food & Drink / Groceries,12.81,3
368,Ho ordinato articoli alimentari consegnati tramite GoPuff.,Food & Drink / Groceries,26,1
369,Ho comprato alcuni generi alimentari da Safeway usando DoorDash.,Food & Drink / Groceries,132.33,3
370,Ordinata cena da T-Swirl Crepe tramite servizio di consegna Seamless.,Food & Drink / Restaurants,43.93,2
371,Acquistati generi alimentari al supermercato.,Food & Drink / Groceries,81.9,3
372,Cibo fastfood da Burger King.,Food & Drink / Restaurants,23.27,1
373,Acquisto contenuto in game; pass Fortnite Crew da Epic Games.,Entertainment / Services,12.74,0
374,Acquisto contenuto in game: gemme nel gioco Guild Wars 2.,Entertainment / Services,21.25,0
375,Colazione con del caffè al mattino. Questo è un chiosco di caffè.,Food & Drink / Other,17.19,2
376,Questo era per un giro di bevande in un bar.,Food & Drink / Alcohol & Bars,21.2,1
377,Questo è per bevande al caffè.,Food & Drink / Other,14.32,1
378,Acquisto in-app effettuato.,Entertainment / Services,5.3,0
379,Caffè da Starbucks.,Food & Drink / Other,7.15,2
380,Ho fatto consegnare McDonald's.,Food & Drink / Restaurants,27.49,1
381,Ho preso di nuovo McDonald's. Prendo cibo da lì abbastanza spesso quando posso.,Food & Drink / Restaurants,25.76,2
382,Questo è per l'acquisto di due caffè e un croissant.,Food & Drink / Other,15.23,2
383,Ho comprato una bevanda alcolica da Walgreens a Vegas.,Food & Drink / Alcohol & Bars,4.32,0
384,"Ho preso un menu dal Dairy Queen, che è un ristorante.",Food & Drink / Restaurants,33.03,2
385,ordinato McDonald's qui.,Food & Drink / Restaurants,31.55,1
386,Caffè e muffin da Starbucks.,Food & Drink / Other,11.5,2
387,Ho ordinato cibo tramite DoorDash.,Food & Drink / Restaurants,25.32,1
388,Spesa in un bar per uscita serale.,Food & Drink / Alcohol & Bars,10.63,1
389,Ho preso alcuni panini da Subway per pranzo.,Food & Drink / Restaurants,18.2,2
390,Acquistata una bevanda da Starbucks.,Food & Drink / Other,4.76,1
391,Acquistati generi alimentari da Walmart Supercenter.,Food & Drink / Groceries,15.18,3
392,"Ho ordinato del Qdoba, che è una catena di ristoranti.",Food & Drink / Restaurants,26.54,1
393,Questo è stato un acquisto di alcolici su un volo Allegiant Airlines.,Food & Drink / Alcohol & Bars,15,0
394,Ho ordinato del cibo da McDonald's.,Food & Drink / Restaurants,33.95,1
395,Questo è ricaricare i miei fondi Starbucks sull'app mobile.,Food & Drink / Other,25,1
396,Consegna ristorante.,Food & Drink / Restaurants,15.96,1
397,Ordinato della Pizza Hut per me e mio fratello con consegna.,Food & Drink / Restaurants,33.01,1
398,Ho preso del cibo messicano tramite DoorDash.,Food & Drink / Restaurants,26.54,1
399,Ho ordinato Denny's (un ristorante) su DoorDash.,Food & Drink / Restaurants,23.6,1
400,Ho preso del gelato da Wendy's.,Food & Drink / Restaurants,4.69,2
401,Generi alimentari da Conad.,Food & Drink / Groceries,10.68,3
402,Cibo da Carrefour.,Food & Drink / Restaurants,5.39,3
403,ho ordinato a casa cibo messicano per sfizio,Food & Drink / Restaurants,27.59,1
404,Caffè ghiacciato da Dunkin Donuts.,Food & Drink / Other,3.41,2
405,Un caffè da McDonald's.,Food & Drink / Restaurants,1.29,1
406,Questo è per il gelato.,Food & Drink / Other,6.47,2
407,Ordinato cibo economico da DoorDash.,Food & Drink / Restaurants,16.68,2
408,Liquori.,Food & Drink / Alcohol & Bars,8.3,0
409,Un ordine da Domino's Pizza.,Food & Drink / Restaurants,30.53,1
410,"Preso della Pizza Hut, come voleva mio fratello.",Food & Drink / Restaurants,38.02,1
411,Ho comprato la colazione in un McDonald's vicino.,Food & Drink / Restaurants,6.87,1
412,Consegna settimanale del kit pasto.,Food & Drink / Restaurants,40.66,2
413,Ho preso del Taco Bell da DoorDash.,Food & Drink / Restaurants,23.5,1
